DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480S1;P7480S1A1;P7480S3;P7480S3A1;P7480S4;P7480S4A1;P7480S5;P7480S5A1;P7480S6;P7480S6A1;P7480S7;P7480S7A1;P7480S8;P7480S8A1;P7480S9;P7480S9A1;P7480S10;P7480S10A1;P7480S11;P7480S11A1;AREA;MES;DPTO;fex_c_2011
5055512;1;3;1;90;2; ;1;6;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;989
5055512;1;4;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;989
5055513;1;1;1;90;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;974
5055513;1;2;1;90;2; ;1;70;2; ;2; ;1;72;2; ;2; ;2; ;2; ;2; ;05;11;05;974
5055513;1;3;1;90;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;974
5055513;1;4;1;90;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;974
5055513;2;1;2;90;2; ;2; ;2; ;2; ;2; ;2; ;1;4;2; ;2; ;2; ;05;11;05;974
5055515;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1362
5055515;1;2;1;90;2; ;1;10;2; ;1;30;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1362
5055516;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1105
5055516;1;2;1;90;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1105
5055516;1;3;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1105
5055518;1;1;1;90;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;717
5055518;1;2;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;717
5055519;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1136
5055519;1;2;1;90;2; ;1;20;2; ;1;29;1;40;2; ;2; ;2; ;2; ;2; ;05;11;05;1136
5055519;1;3;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1136
5055520;1;1;1;90;2; ;1;7;1;7;2; ;2; ;2; ;2; ;1;30;2; ;2; ;05;11;05;1105
5055520;1;2;1;90;2; ;1;42;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1105
5055520;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1105
5055521;1;1;1;90;2; ;1;20;2; ;2; ;1;72;2; ;2; ;2; ;2; ;2; ;05;11;05;827
5055521;1;2;1;90;2; ;1;14;2; ;2; ;1;30;2; ;2; ;2; ;2; ;2; ;05;11;05;827
5055522;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1221
5055522;1;2;1;90;2; ;1;15;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1221
5055525;1;1;1;90;2; ;1;5;2; ;1;35;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1734
5055525;1;2;1;90;2; ;1;12;2; ;1;50;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1734
